Dancing in the Moonlight,Jubël,71,2018-06-22,pop;dance pop,659
Heaven,Avicii,80,2019-06-06,pop;dance pop,592
Forever Young,John De Sohn,68,2018-07-27,pop;dance pop,651
eoh,Olympis,60,2019-08-16,pop;dance pop,707
Nobody,Martin Jensen,66,2019-03-01,pop;dance pop,673
All Day And Night,Jax Jones,75,2019-07-12,pop;dance pop,567
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,2018-11-01,pop;dance pop,768
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74,2018-06-22,pop;dance pop,734
All For Love,Tungevaag & Raaban,68,2018-03-23,pop;dance pop,689
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,2019-03-29,pop;dance pop,676
One Touch,Jess Glynne,70,2018-10-12,pop;dance pop,686
Be Your Friend‬‬,Vigiland,67,2018-03-02,pop;dance pop,0.6
Happier - Breathe Carolina Remix,Marshmello,62,2018-10-19,pop;dance pop,691
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,56,2019-05-02,pop;dance pop,0.63
Just Got Paid,Sigala,65,2018-09-28,pop;dance pop,734
No One - Jonas Blue Remix,Jess Glynne,51,2019-03-15,pop;dance pop,605
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,2019-03-22,pop;dance pop,609
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,61,2019-02-01,pop;dance pop,733
Darkside,Alan Walker,76,2018-12-14,pop;dance pop,0.43
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,2019-04-25,pop;dance pop,661
Body (feat. brando),Loud Luxury,63,2017-10-27,pop;dance pop,752
Who's Got Your Love,Cheat Codes,70,2019-03-15,pop;dance pop,704
Never Go Back - Robin Schulz Remix,Dennis Lloyd,70,2019-06-07,pop;dance pop,655
Pumped Up,Klingande,56,2017-09-08,pop;dance pop,732
California,Hot Shade,65,2018-05-04,pop;dance pop,619
Solo Dance,Martin Jensen,61,2016-11-04,pop;dance pop,746
Replay,Davai,60,2017-08-25,pop;dance pop,776
Think About You - Galantis Remix,Kygo,63,2019-04-12,pop;dance pop,621
Love No More,Loud Luxury,54,2018-08-31,pop;dance pop,767
All Falls Down (feat. Juliander),Alan Walker,70,2018-12-14,pop;dance pop,655
Lonely Together (feat. Rita Ora),Avicii,6,2018-11-23,pop;dance pop,638
Remind Me to Forget,Kygo,70,2017-11-03,pop;dance pop,689
Next To Me,Axel Johansson,54,2018-04-20,pop;dance pop,445
Giant (with Rag'n'Bone Man),Calvin Harris,83,2019-01-11,pop;dance pop,807
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,53,2018-06-01,pop;dance pop,684
Hum With Me,John De Sohn,55,2017-06-09,pop;dance pop,653
Without You (feat. Sandro Cavazza),Avicii,81,2017-08-10,pop;dance pop,662
Call On Me - Ryan Riback Remix,Starley,58,2016-10-07,pop;dance pop,691
Sad (feat. Afrojack),Chico Rose,75,2019-08-30,pop;dance pop,717
Stargazing,Kygo,73,2017-09-21,pop;dance pop,677
Symphony (feat. Zara Larsson),Clean Bandit,73,2018-11-30,pop;dance pop,715
Stay Young,Mike Perry,57,2017-09-01,pop;dance pop,572
More Than You Know,Axwell /\ Ingrosso,25,2017-05-24,pop;dance pop,645
Why Boy,Steff da Campo,55,2019-06-07,pop;dance pop,497
The Nights,Avicii,80,2014-01-01,pop;dance pop,527
Rich Love (with Seeb),OneRepublic,69,2017-07-14,pop;dance pop,401
Mama,Jonas Blue,74,2018-11-09,pop;dance pop,738
Feel Good,Felix Jaehn,65,2018-02-16,pop;dance pop,702
IDGAF - Hazers Remix,Dua Lipa,50,2018-02-23,pop;dance pop,814
Breathe (feat. Ina Wroldsen),Jax Jones,66,2019-07-12,pop;dance pop,724
Rockstar,Ilkay Sencan,71,2019-06-21,pop;dance pop,771
Jackie Chan,Tiësto,79,2018-05-18,pop;dance pop,747
Moonlight,Gaullin,76,2018-09-07,pop;dance pop,813
All I Wanna Do,Martin Jensen,55,2016-04-08,pop;dance pop,728
Sweet but Psycho,Ava Max,87,2018-08-17,pop;dance pop,719
Melody - ANGEMI Remix,Lost Frequencies,35,2018-06-15,pop;dance pop,564
High On Life (feat. Bonn),Martin Garrix,77,2018-07-29,pop;dance pop,414
So Am I,Ava Max,83,2019-03-07,pop;dance pop,682
I Know You - Vigiland Remix,Craig David,51,2018-02-09,pop;dance pop,674
Through To You,Lyente,2,2018-04-17,pop;dance pop,0.69
Burn Out (feat. Dewain Whitmore),Martin Garrix,68,2018-09-14,pop;dance pop,594
Penny,Dimitri Vangelis & Wyman,50,2019-03-29,pop;dance pop,468
Wait For Me,Steve Brian,42,2018-10-12,pop;dance pop,465
bad guy,Billie Eilish,95,2019-03-29,pop;dance pop,701
Daylight (Airbeat One Anthem 2018),Fluex,50,2018-06-22,pop;dance pop,631
Imagine,Rob Tirea,21,2018-04-13,pop;dance pop,578
Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,63,2018-11-30,pop;dance pop,671
Glitch,Martin Garrix,56,2018-12-14,pop;dance pop,715
Brand New (Helium),Lvly,2,2018-04-13,pop;dance pop,714
